User 12641004: 114667,192159,287754,3412,98087,1126068419,1013224538,5775,616991921,238079
User 15335760: 98087,287754,15656,178279,10100,11908,1367369652,932399147,5808,37855
User 11965254: 178279,15656,259887,5808,37855,3297,1013224538,29060,192159,3918
User 16988043: 29060,5808,98087,16232,178279,192159,1422147710,3412,10093,1367369652
User 16756017: 110118,1367369652,1422147710,29060,98087,72608,292504,4594778566,4027624215,26946
User 10614625: 271357,585050534,51436,181952,614090151,2291,293326,2809,1372047272,5808
User 19515421: 110118,1367369652,29060,4027624215,175477,292504,98087,4594778566,65424,72608
User 17405009: 1367369652,10093,6964432726,11677,110118,234062,29060,3297,26946,6083
User 17454817: 5808,984511820,84498,193792,15656,28723,298274,4594778566,252920,295161
User 13634631: 5808,15656,1013224538,65,4027624215,259887,110118,84480,4172036782,72608
User 16411926: 84480,29060,178279,72608,98087,15656,5258449130,5808,1372047272,932399147
User 13602608: 3297,178279,192159,3918,98087,29060,1367369652,17115,10103,292504
User 17466107: 30690,5847158141,1371754294,1399276087,192159,84469,246377,6964432726,2932,287478
User 17886844: 29060,110118,1367369652,4594778566,10093,4027624215,72608,292504,26946,27240
User 17739994: 5808,246377,29060,178279,424926402,1000,271357,192159,1372047272,6964372893
User 15846912: 1371754294,84469,243677,246377,5847158141,30690,5753595125,192159,4474927730,299312
User 13362925: 192159,30690,84469,10093,3297,180496,1422147710,182201,4474927730,243677
User 19026974: 98087,118081,275397,293326,3722686216,958967455,175477,110345,292504,572421629
User 19104262: 1126068419,15656,178279,1013224538,98087,19735,29060,287754,1372047272,246377
User 12385889: 5808,1126068419,84480,29060,72608,1013224538,667788361,10103,19735,4172036782
User 10146602: 15656,178279,1126068419,29060,259887,74707,1372047272,4172036782,84480,1013224538
User 11722906: 22781,84480,294406,74707,15656,4594778566,175765,154696,72608,84408
User 11315075: 15656,22781,84480,29060,5258449130,4594778566,74707,178279,154696,175765
User 15485706: 192159,246377,3297,234062,287478,10100,5987,17115,29060,378772875
User 16100723: 62564,29060,178279,3297,5808,1422147710,19735,298274,297160,84480
User 18966240: 562332391,84469,84480,98087,15656,1367369652,29060,5847158141,16232,251007
User 10639500: 3297,5808,292504,248331,26360,299312,616991921,6196535980,424926402,623826388
User 16604920: 178279,15656,3297,84480,85381,1372047272,5775,1013224538,699596682,6964509115
User 18553055: 178279,5808,28723,27240,37855,2652953122,84480,1013224538,10103,62564
User 17277688: 1372047272,15656,3297,259887,192159,616991921,2809,77592,271357,7389
User 18553590: 15656,29060,65,178279,110118,4594778566,84498,1372047272,251007,10100
User 15790142: 246377,275397,30690,2275305671,610483525,919273391,180496,412221533,293326,1371754294
User 14513439: 26946,77592,192159,15272,606565167,84408,237700,3641188801,2269777356,297160
User 10076263: 281934,1126068419,293326,65882,26946,984511820,1013224538,298274,184728,5808
User 12862888: 1126068419,5808,178279,287754,85381,259887,5775,15656,37855,282357
User 13470788: 298274,84480,4027624215,274486,3297,287754,1013224538,499,178279,1126068419
User 18083932: 1126068419,1013224538,298274,5808,5775,1422147710,259887,62564,287754,178279
User 15942934: 274486,85381,19735,267557,178279,62564,5808,1372047272,298274,84480
User 10613328: 5258449130,15656,1013224538,1367369652,294406,4474927730,85577,562332391,98087,178279
User 13903530: 1126068419,15656,27240,178279,1422147710,5808,1013224538,145736,10103,2652953122
User 15884728: 17115,178279,15656,610483525,1367369652,246377,10103,192159,110118,3641188801
User 12739368: 3641188801,287754,62564,15272,297160,520115328,14477,4378855865,3412,62560
User 14142424: 15272,5258449130,286875,28723,169119,5808,297160,74707,145736,584964332
User 15388801: 4172036782,178279,1013224538,286633,175477,259887,5808,5258449130,1277957195,98087
User 18520455: 178279,5808,98087,1372047272,292504,29060,15656,1126068419,259887,118081
User 19711968: 192159,27240,3297,5808,65882,5775,1422147710,145736,178279,6964372893
User 13317579: 425574571,5847158141,1399276087,287478,30690,144333121,613338059,24228,275397,4379536292
User 19572730: 562332391,242031,3903,32872,84469,282357,84408,579302405,3412,47291
User 19101100: 271357,15656,9031920571,178279,2291,958967455,145736,110118,7990,295161
User 13655596: 1126068419,15656,246377,37855,192159,178279,26946,282929,3412,2652953122
User 12407578: 293326,378772875,193792,292504,102238,298659,295169,614073139,678166630,28723
User 10253747: 3297,10100,17115,246377,29060,98087,234062,27240,287478,292504
User 12990431: 3297,5808,15656,17115,178279,84480,1126068419,192159,37855,4261
User 17292606: 5808,246377,178279,84480,192159,98087,292504,10103,17115,1367369652
User 16954290: 1422147710,178279,292504,5808,5775,259887,98087,6964372893,3918,10103
User 16981027: 28723,259551,22766,3385814678,14335,255230,3871382696,5753595125,6070455513,27111
User 16568383: 5808,1126068419,178279,15656,37855,84498,29060,10103,259887,19735
User 16394447: 29060,4027624215,499,7990,3903,11677,1118095676,37855,266991,14477
User 11826927: 1126068419,29060,259887,62564,16232,5808,1013224538,3297,178279,271357
User 17545966: 958967455,585050534,298274,412221533,24228,275643,6964389719,84803,13276,614090151
User 18935074: 29060,295161,499,176672,37855,282357,51436,958967455,47291,645565725
User 18203000: 4486873654,1126068419,15656,28723,4440747756,614073139,1659144539,5993643095,4172036782,678166630
User 19889694: 29060,295161,499,37855,5808,6964372893,958967455,47291,4027624215,2291
User 18655830: 15272,287754,24046,282929,26946,4340239883,613338059,3412,24228,72608
User 11747893: 902194547,6964355876,184728,15272,13276,595244685,26946,282928,412221533,93434
User 14337110: 271357,37855,178279,65882,84498,1029,29060,5808,259887,984511820
User 15297415: 1126068419,15656,5808,3918,259887,85577,297160,562332391,5775,169119
User 13481293: 29060,37855,17115,15656,932399147,271357,610483525,259887,5808,10100
User 18513809: 16232,7990,1422147710,62564,932399147,610483525,4474927730,279706,65,84480
User 14427347: 5808,246377,178279,192159,15656,29060,110172,251007,62564,267557
User 19900981: 178279,271357,1372047272,15656,1126068419,3297,192159,180183,251007,84480
User 13310560: 286651,286633,274486,267557,84480,16232,298274,1126068419,178279,1422147710
User 12458552: 29060,178279,62564,932399147,192159,37855,3918,259887,11908,19735
User 13198542: 5808,62564,1422147710,29060,15656,19735,4027624215,3297,98087,1126068419
User 11761571: 15656,287754,3918,98087,26946,192159,1126068419,5808,10103,29060
User 12053638: 5808,246377,28723,178279,98087,1126068419,77592,610483525,27240,616991921
User 17904720: 1126068419,145736,1422147710,3385814678,178279,5808,15656,15272,169119,27240
User 14422685: 192159,3297,15656,26946,98087,1422147710,3412,10103,178279,5808
User 11613862: 4340239883,27111,13276,4486873654,193792,298274,27240,3871382696,1359800743,1182080600
User 11012637: 178279,5808,271357,15656,932399147,10100,37855,4027624215,3297,84480
User 13639034: 62564,292504,3297,5808,1367369652,1126068419,98087,17115,297160,3918
